source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ruwe,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,has_xp_sampled,has_mcmc_msc,teff_gspphot,ag_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2927289081479507456,100.73436768330815,0.03859033,-20.12390558436564,0.05571072,1.6497202700082012,0.07129291,8.010622,1.424027344414947,0.043109044,7.883033450944671,0.062474847,0.058278915,0.98714495,1.1552612,1803.3081,17.390491,5.3647156,119.13472,18.32458,8.635408,241.0645,16.451855,1.8727245,,false,true,4114.9937,0.5032,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9412722248722043
2932988537441940096,102.48683024927271,0.673965,-20.484191310354383,0.7908545,1.678478433818071,1.0156646,2.2349021,-2.234513200728345,0.8747512,0.04169422243928043,0.9754459,-0.3791593,0.9569256,0.76518893,127.03678,20.71812,5.4269586,9.819987,21.021873,5.196138,12.213174,20.241623,0.78025055,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9413047068035069
2926792136580522880,101.33173713103466,0.4056494,-21.64520428697546,0.62218934,1.5665649983118968,0.7653276,8.593502,4.994266703623326,0.4277948,-6.993252104699978,0.6820645,0.2293253,1.0017576,0.55690277,186.99785,20.643328,5.4794087,8.263937,21.19874,5.045638,23.385212,19.568253,1.6304874,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9418596086561295
2933273993846038784,101.67853160118136,0.64313024,-19.78956334320686,1.45697,1.5699977208643772,1.8994355,1.7517093,-1.1463459504721647,0.822236,1.3245288232860217,1.8057343,-0.20935062,1.110931,0.7010197,128.90237,20.79739,4.0172305,9.704382,21.361305,8.940974,7.8940845,20.126179,1.2351265,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9419578508582914
2926203176301701248,102.46775758782441,0.15086067,-21.021349909456852,0.21755517,1.5300881405879745,0.28268817,4.614495,-1.8949212272534797,0.17420119,-4.2074737713367885,0.26346344,0.036196772,1.0310959,0.68810064,424.53925,19.523443,5.736985,11.375017,20.801952,5.31342,66.97996,18.369598,2.432354,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9421695499672428
2927316530612466432,101.54978116654853,1.3874693,-19.777005927816358,2.0612638,1.5855809528623266,2.0206308,9.009282,0.3776301331764822,1.9276779,9.001364143362329,2.8940225,-0.40443495,1.1183379,0.951612,86.78702,20.89508,27.088152,2.4743643,20.772934,9.414054,11.187877,19.691586,1.0813484,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9422457712804471
2927318660916002688,101.342658674537,0.623665,-19.79000229647459,1.0084249,1.6771479024499865,1.0001737,3.456758,-1.5430655571758292,0.86694175,3.093238625020716,1.4148222,-0.6840453,0.92817014,0.6090201,162.10294,20.701311,4.1068916,11.088645,21.192562,6.044372,11.930321,20.102888,1.089674,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9422480646415211
2926203378166705280,102.47841539583068,0.21885382,-20.990570864071053,0.3321488,1.5483019034013172,0.4230552,2.7369611,-1.9419356791569924,0.2655489,1.9286892151771018,0.4156281,0.25885114,1.0925734,0.6332863,331.5828,19.881887,3.64213,11.812637,21.254286,5.166761,48.837696,18.742962,2.511324,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9423542660177049
2933061517527248256,102.22368524146486,0.007610763,-20.051738319896117,0.009945772,1.6725360608657396,0.014691263,8.928168,-8.856369418221457,0.010620244,-1.1300068894314106,0.013718157,-0.27379313,1.0510321,8.675442,7867.9395,13.601985,18.250187,1895.47,13.991081,22.408978,2123.7642,13.054074,0.93700695,37.71197,true,true,5450.7036,0.0016,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.94267444176968
2926161601026055296,102.13048246199823,0.06406268,-21.465175593408482,0.078502916,1.6225942376094196,0.11227485,1.1834537,-1.1683990015557,0.073571146,-0.18816596519731096,0.086541116,0.47092435,1.1075763,5.630476,410.24384,17.278399,1409.3389,5.5795994,15.599496,5697.2944,1.6613415,14.807576,0.7919197,,false,true,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9430584242102454
2933258158301676416,101.97569894540484,0.36157602,-19.881197595881137,0.45584705,1.585687626144992,0.63425833,0.51322085,0.33210270047405405,0.4866175,0.39128433656908007,0.6030256,-0.32722363,1.0243919,0.60481346,224.66933,20.354454,6.989247,7.326347,21.065248,5.5948076,25.781574,19.350159,1.7150898,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9432224410817618
2926067867655351168,102.02345964290456,0.4124164,-21.533206297631494,0.59376997,1.561755471993906,0.89158666,1.775272,1.171918036644578,0.42403394,1.333491214520667,0.74232286,0.091401815,1.0507101,0.5589718,183.98338,20.656946,4.875475,7.086701,21.49239,7.241511,14.251059,19.713705,1.7786846,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.943589684546451
